airline_iata,airline_name,source_iata,source_city,destination_iata,destination_city,route,stops,aircraft_type,aircraft_capacity,price_usd
AZ,ITA Airways,LIN,Milan,GVA,Geneva,LIN-GVA,0,A321,220,155.01
AV,Avianca,EWR,Newark,BOG,Bogota,EWR-BOG,1,A321XLR,200,393.47
FR,Ryanair,STN,London,LGW,London,STN-LGW,0,A321,220,240.69
NH,ANA,NRT,Tokyo,KUL,Kuala Lumpur,NRT-KUL,0,B737-800,189,362.11
TK,Turkish Airlines,MXP,Milan,IST,Istanbul,MXP-IST,1,A321,220,71.87
NH,ANA,DXB,Dubai,LHR,London,DXB-LHR,0,A321XLR,200,929.03
CX,Cathay Pacific,MEX,Mexico City,YUL,Montreal,MEX-YUL,1,E190,100,268.2
LH,Lufthansa,SIN,Singapore,ATL,Atlanta,SIN-ATL,1,B787-9,290,737.34
AI,Air India,HND,Tokyo,LAX,Los Angeles,HND-LAX,0,B777-300ER,360,632.79
FR,Ryanair,CAI,Cairo,BGY,Milan,CAI-BGY,1,A330-300,277,530.95
AZ,ITA Airways,FCO,Rome,SLC,Salt Lake City,FCO-SLC,0,B787-10,330,1036.22
AV,Avianca,BOG,Bogota,IAH,Houston,BOG-IAH,0,A330-200,246,255.5
CX,Cathay Pacific,HKG,Hong Kong,TPE,Taipei,HKG-TPE,0,A321,220,179.58
TK,Turkish Airlines,IST,Istanbul,CAI,Cairo,IST-CAI,0,A330-300,277,671.44
AV,Avianca,BOG,Bogota,BOM,Mumbai,BOG-BOM,0,B787-10,330,1300.92
AA,American Airlines,JFK,New York,JNB,Johannesburg,JFK-JNB,0,B777-300ER,360,1360.73
LA,LATAM Airlines,LIM,Lima,DEL,Delhi,LIM-DEL,0,B777-300ER,360,1132.56
FR,Ryanair,DUB,Dublin,AKL,Auckland,DUB-AKL,0,A380-800,489,1241.68
NH,ANA,LAX,Los Angeles,MEL,Melbourne,LAX-MEL,0,B777-300ER,360,1295.79
AI,Air India,GRU,Sao Paulo,DUB,Dublin,GRU-DUB,1,B777-300ER,360,831.12
EK,Emirates,LHR,London,LAX,Los Angeles,LHR-LAX,0,B777-200ER,317,1293.41
AV,Avianca,FRA,Frankfurt,ORD,Chicago,FRA-ORD,0,A350-1000,366,1199.64
LA,LATAM Airlines,AUH,Abu Dhabi,GRU,Sao Paulo,AUH-GRU,1,A350-900,315,1221.7
LH,Lufthansa,LAX,Los Angeles,HKG,Hong Kong,LAX-HKG,0,B777-200ER,317,868.99
LA,LATAM Airlines,LIM,Lima,JNB,Johannesburg,LIM-JNB,0,A350-1000,366,1269.36
AA,American Airlines,CLT,Charlotte,JFK,New York,CLT-JFK,0,A321,220,109.02
NH,ANA,HND,Tokyo,VIE,Vienna,HND-VIE,0,B747-8,410,1568.2
AI,Air India,DEL,Delhi,MIA,Miami,DEL-MIA,0,B747-8,410,1082.65
